"Age","Embarked","Fare","Pclass","Sex","Title","Family_Size","Survived"
22.0,"S",7.25,3,"male","Mr",2,"0"
38.0,"C",71.2833,1,"female","Mrs",2,"1"
26.0,"S",7.925000000000001,3,"female","Ms",1,"1"
35.0,"S",53.1,1,"female","Mrs",2,"1"
35.0,"S",8.05,3,"male","Mr",1,"0"
25.0,"Q",8.458300000000001,3,"male","Mr",1,"0"
54.0,"S",51.862500000000004,1,"male","Mr",1,"0"
2.0,"S",21.075,3,"male","Master",5,"0"
27.0,"S",11.1333,3,"female","Mrs",3,"1"
14.0,"C",30.070800000000002,2,"female","Mrs",2,"1"
4.0,"S",16.7,3,"female","Ms",3,"1"
58.0,"S",26.55,1,"female","Ms",1,"1"
20.0,"S",8.05,3,"male","Mr",1,"0"
39.0,"S",31.275000000000002,3,"male","Mr",7,"0"
14.0,"S",7.8542000000000005,3,"female","Ms",1,"0"
55.0,"S",16.0,2,"female","Mrs",1,"1"
2.0,"Q",29.125,3,"male","Master",6,"0"
33.0,"S",13.0,2,"male","Mr",1,"1"
31.0,"S",18.0,3,"female","Mrs",2,"0"
30.0,"C",7.2250000000000005,3,"female","Mrs",1,"1"
35.0,"S",26.0,2,"male","Mr",1,"0"
34.0,"S",13.0,2,"male","Mr",1,"1"
15.0,"Q",8.029200000000001,3,"female","Ms",1,"1"
28.0,"S",35.5,1,"male","Mr",1,"1"
8.0,"S",21.075,3,"female","Ms",5,"0"
38.0,"S",31.387500000000003,3,"female","Mrs",7,"1"
31.5,"C",7.2250000000000005,3,"male","Mr",1,"0"
19.0,"S",263.0,1,"male","Mr",6,"0"
19.0,"Q",7.8792,3,"female","Ms",1,"1"
28.0,"S",7.8958,3,"male","Mr",1,"0"
40.0,"C",27.7208,1,"male","Royal or Noble",1,"0"
36.5,"C",146.5208,1,"female","Mrs",2,"1"
26.0,"Q",7.75,3,"female","Ms",1,"1"
66.0,"S",10.5,2,"male","Mr",1,"0"
28.0,"C",82.1708,1,"male","Mr",2,"0"
42.0,"S",52.0,1,"male","Mr",2,"0"
22.5,"C",7.2292000000000005,3,"male","Mr",1,"1"
21.0,"S",8.05,3,"male","Mr",1,"0"
18.0,"S",18.0,3,"female","Ms",3,"0"
14.0,"C",11.2417,3,"female","Ms",2,"1"
40.0,"S",9.475,3,"female","Mrs",2,"0"
27.0,"S",21.0,2,"female","Mrs",2,"0"
28.0,"C",7.8958,3,"male","Mr",1,"0"
3.0,"C",41.5792,2,"female","Ms",4,"1"
19.0,"Q",7.8792,3,"female","Ms",1,"1"
28.5,"S",8.05,3,"male","Mr",1,"0"
40.0,"Q",15.5,3,"male","Mr",2,"0"
26.0,"Q",7.75,3,"female","Ms",1,"1"
26.0,"C",21.6792,3,"male","Mr",3,"0"
18.0,"S",17.8,3,"female","Mrs",2,"0"
7.0,"S",39.6875,3,"male","Master",6,"0"
21.0,"S",7.800000000000001,3,"male","Mr",1,"0"
49.0,"C",76.7292,1,"female","Mrs",2,"1"
29.0,"S",26.0,2,"female","Mrs",2,"1"
65.0,"C",61.979200000000006,1,"male","Mr",2,"0"
36.5,"S",35.5,1,"male","Mr",1,"1"
21.0,"S",10.5,2,"female","Ms",1,"1"
28.5,"C",7.2292000000000005,3,"male","Mr",1,"0"
5.0,"S",27.75,2,"female","Ms",4,"1"
11.0,"S",46.900000000000006,3,"male","Master",8,"0"
22.0,"C",7.2292000000000005,3,"male","Mr",1,"0"
38.0,"C",80.0,1,"female","Ms",1,"1"
45.0,"S",83.47500000000001,1,"male","Mr",2,"0"
4.0,"S",27.900000000000002,3,"male","Master",6,"0"
30.0,"C",27.7208,1,"male","Mr",1,"0"
6.0,"C",15.245800000000001,3,"male","Master",3,"1"
29.0,"S",10.5,2,"female","Mrs",1,"1"
19.0,"S",8.1583,3,"male","Mr",1,"0"
17.0,"S",7.925000000000001,3,"female","Ms",7,"1"
26.0,"S",8.6625,3,"male","Mr",3,"0"
32.0,"S",10.5,2,"male","Mr",1,"0"
16.0,"S",46.900000000000006,3,"female","Ms",8,"0"
21.0,"S",73.5,2,"male","Mr",1,"0"
26.0,"C",14.4542,3,"male","Mr",2,"0"
32.0,"S",56.4958,3,"male","Mr",1,"1"
25.0,"S",7.65,3,"male","Mr",1,"0"
27.5,"S",7.8958,3,"male","Mr",1,"0"
28.5,"S",8.05,3,"male","Mr",1,"0"
0.8300000000000001,"S",29.0,2,"male","Master",3,"1"
30.0,"S",12.475000000000001,3,"female","Ms",1,"1"
22.0,"S",9.0,3,"male","Mr",1,"0"
29.0,"S",9.5,3,"male","Mr",1,"1"
22.5,"Q",7.7875000000000005,3,"female","Ms",1,"1"
28.0,"S",47.1,1,"male","Mr",1,"0"
17.0,"S",10.5,2,"female","Ms",1,"1"
33.0,"S",15.850000000000001,3,"female","Mrs",4,"1"
16.0,"S",34.375,3,"male","Mr",5,"0"
28.5,"S",8.05,3,"male","Mr",1,"0"
23.0,"S",263.0,1,"female","Ms",6,"1"
24.0,"S",8.05,3,"male","Mr",1,"0"
29.0,"S",8.05,3,"male","Mr",1,"0"
20.0,"S",7.8542000000000005,3,"male","Mr",1,"0"
46.0,"S",61.175000000000004,1,"male","Mr",2,"0"
26.0,"S",20.575,3,"male","Mr",4,"0"
59.0,"S",7.25,3,"male","Mr",1,"0"
28.0,"S",8.05,3,"male","Mr",1,"0"
